branch_name,tax_description,report_period,vat_11_pct,tax_2,tax_3,tax_4,tax_5,service,total,source_file
Conut,Total By Branch,Year: 2025 - All Months,427048534.35,0.0,0.0,0.0,0.0,0.0,427048534.35,REP_S_00194_SMRY.csv
Conut - Tyre,Total By Branch,Year: 2025 - All Months,563134562.83,0.0,0.0,0.0,0.0,0.0,563134562.83,REP_S_00194_SMRY.csv
Conut Jnah,Total By Branch,Year: 2025 - All Months,623597658.93,0.0,0.0,0.0,0.0,0.0,623597658.93,REP_S_00194_SMRY.csv
Main Street Coffee,Total By Branch,Year: 2025 - All Months,579893871.34,0.0,0.0,0.0,0.0,0.0,579893871.34,REP_S_00194_SMRY.csv
